,01_Lab_1 [20],01_HW_1_quiz [10],02_HW_2_alignment [10],02_Lab_2 [14],02_HW_2_quiz [10],03_HW_3_PSSM [10],03_Lab_3 [10],Project_checkin [1],04_Lab_4_RScript_to_PDF_report [10],04_HW_4_quiz [10],04_HW_DC_introR [10],05_Lab_5_RMD [10],05_HW_5_quiz [10],05_HW_5_DC_ggplot [10],06_HW_6_Functions [10],06_Lab_6_RFunction [10],06_HW_6_quiz [10],06_HW_6_DC_intermediateR [10],07_Lab_7_GitHub [10],07_HW_7_DC_git [10],08_Lab_8_ml1 [10],08_Lab_9_ml2 [10],10_Lab_10_miniproject [16],10_HW_10_DC_tidyverse [10],11_Lab_11_structurePart1 [6],12_Lab_12_structurePart2 [7],13_HW_13_UnixBasics [10],,,,,,,,,,
,19,10,10,13,10,10,8,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.5,10,0,7.25,10,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.75,9,10,11.5,10,10,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.5,7,8,12.5,10,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.5,10,10,14,9,5,8,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.5,10,,10.5,10,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,9,,12.5,9,10,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,10,,11.25,10,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.5,10,10,12,9,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.75,10,,13,10,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.5,8,10,14,10,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.5,8,8,14,9,8,8,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.5,7,,13.5,9,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,10,10,13.75,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.5,5,,12,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.75,10,10,12.25,9,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.5,6,10,12,10,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.25,7,10,12.5,9,7,8,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.75,9,10,13.75,9,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.5,6,10,12.5,7,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,5,,11.75,9,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.25,10,10,12.5,9,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,10,10,13.5,10,0,7.5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.5,10,9,13.5,10,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.5,6,0,12.25,9,10,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.75,10,5,11.5,9,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
